player_id;name;team_name;Ability_score;attack_score;defend_score;attacking_rank;defending_rank
153066;Harry Wilson;Queensland Reds;92.4;100.0;84.8;1.0;2.0
154110;Fraser McReight;Queensland Reds;70.7;61.6;79.8;5.0;3.0
165000;Tom Christie;Crusaders;69.65;39.3;100.0;46.0;1.0
161946;Rob Valetini;ACT Brumbies;64.75;61.6;67.9;6.0;5.0
165852;Samisoni Taukei'aho;Chiefs;63.849999999999994;63.6;64.1;3.0;6.0
165906;Hamish Stewart;Queensland Reds;59.3;45.4;73.2;26.0;4.0
177072;Hoskins Sotutu;Blues;59.05;62.7;55.4;4.0;10.0
201012;Tom Wright;ACT Brumbies;59.0;84.1;33.9;2.0;42.0
204804;Ryan Smith;Queensland Reds;52.35;41.6;63.1;37.0;7.0
149676;Luke Jacobson;Chiefs;51.55;43.0;60.1;31.0;8.0
149694;Jordie Barrett;Hurricanes;51.400000000000006;60.1;42.7;8.0;23.0
207156;Nick Frost;ACT Brumbies;48.8;41.3;56.3;38.0;9.0
124590;Scott Barrett;Crusaders;47.45;39.7;55.2;44.0;11.0
188874;Tupou Vaa'i;Chiefs;45.1;40.5;49.7;40.0;14.0
206676;Samipeni Finau;Chiefs;45.099999999999994;41.8;48.4;36.0;15.0
206682;Cullen Grace;Crusaders;44.65;42.0;47.3;34.0;16.0
205380;Seru Uru;Queensland Reds;44.65;45.5;43.8;24.0;22.0
164268;Tate McDermott;Queensland Reds;44.05;60.7;27.4;7.0;77.0
156678;Billy Harmon;Highlanders;44.0;34.6;53.4;54.0;12.0
191412;Carter Gordon;Melbourne Rebels;43.4;48.0;38.8;17.0;29.0
133662;Jake Gordon;NSW Waratahs;43.15;50.3;36.0;13.0;37.0
205602;Charlie Gamble;NSW Waratahs;41.7;31.4;52.0;68.0;13.0
131940;Andy Muirhead;ACT Brumbies;41.4;48.9;33.9;16.0;43.0
118932;Jed Holloway;NSW Waratahs;41.0;36.9;45.1;49.0;19.0
206574;Mark Nawaqanitawase;NSW Waratahs;40.85;50.7;31.0;12.0;58.0
173226;Jock Campbell;Queensland Reds;40.75;57.7;23.8;9.0;105.0
141222;Rieko Ioane;Blues;40.05;45.9;34.2;23.0;41.0
