,match_id,match_comp_id,match_comp_name,match_season,match_status,match_match_minute,match_venue,match_game_week,match_home_team,match_away_team,match_home_id,match_away_id,match_date,match_home_score,match_away_score,match_home_tries,match_away_tries,match_home_conversions,match_away_conversions,match_home_penalties,match_away_penalties,match_home_drop_goals,match_away_drop_goals,match_round_id,match_stage,match_updated,home_carries_crossed_gain_line,home_carries_metres,home_carries_not_made_gain_line,home_clean_breaks,home_defenders_beaten,home_offload,home_passes,home_runs,home_turnovers_conceded,home_missed_tackles,home_tackles,home_turnovers_won,home_penalties_conceded,home_red_card_second_yellow,home_red_cards,home_yellow_cards,home_conversion_goals,home_kicks_from_hand,home_missed_conversion_goals,home_missed_penalty_goals,home_penalty_goals,home_mauls_lost,home_mauls_total,home_mauls_won,home_mauls_won_penalty,home_mauls_won_try,home_rucks_lost,home_rucks_total,home_rucks_won,home_lineout_success,home_lineout_won_steal,home_lineouts_Lost,home_lineouts_won,home_scrums_lost,home_scrums_success,home_scrums_won,home_possession,home_pc_possession_first,home_pc_possession_second,home_ball_possession_last_10_mins,away_carries_crossed_gain_line,away_carries_metres,away_carries_not_made_gain_line,away_clean_breaks,away_defenders_beaten,away_offload,away_passes,away_runs,away_turnovers_conceded,away_missed_tackles,away_tackles,away_turnovers_won,away_penalties_conceded,away_red_card_second_yellow,away_red_cards,away_yellow_cards,away_conversion_goals,away_kicks_from_hand,away_missed_conversion_goals,away_missed_penalty_goals,away_penalty_goals,away_mauls_lost,away_mauls_total,away_mauls_won,away_mauls_won_penalty,away_mauls_won_try,away_rucks_lost,away_rucks_total,away_rucks_won,away_lineout_success,away_lineout_won_steal,away_lineouts_Lost,away_lineouts_won,away_scrums_lost,away_scrums_success,away_scrums_won,away_possession,away_pc_possession_first,away_pc_possession_second,away_ball_possession_last_10_mins,home_lineouts_lost,away_lineouts_lost
value,4617106,1242,Super Rugby,2013,Result,80,AAMI Park,1,Rebels,Force,53,236,2013-02-15T08:40:00+00:00,30,23,3,3,3,1,3,2,0,0,1,Regular Season,2024-02-15T18:01:27+00:00,94.0,396.0,0.0,6.0,13.0,11.0,101.0,94.0,16.0,18.0,131.0,0.0,11.0,,0.0,1.0,3.0,20.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,63.0,62.0,0.82,0.0,2.0,9.0,1.0,0.67,2.0,0.5,0.5,0.5,,116.0,338.0,0.0,9.0,18.0,16.0,128.0,116.0,14.0,13.0,87.0,0.0,11.0,,0.0,2.0,1.0,20.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,81.0,76.0,0.76,0.0,4.0,13.0,0.0,1.0,8.0,0.5,0.5,0.5,,,
value,4617115,1242,Super Rugby,2013,Result,80,GIO Stadium Canberra,1,Brumbies,Reds,467,767,2013-02-16T08:40:00+00:00,24,6,2,0,1,0,4,2,0,0,1,Regular Season,2024-02-15T18:00:52+00:00,105.0,302.0,0.0,3.0,7.0,9.0,136.0,105.0,13.0,19.0,108.0,0.0,8.0,,0.0,0.0,1.0,23.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,85.0,82.0,1.0,0.0,0.0,12.0,0.0,1.0,7.0,1.0,1.0,1.0,,99.0,361.0,0.0,3.0,19.0,12.0,112.0,99.0,13.0,7.0,124.0,0.0,13.0,,0.0,0.0,0.0,16.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,9.0,80.0,71.0,0.94,0.0,1.0,15.0,1.0,0.75,3.0,0.0,0.0,0.0,,,
value,4617196,1242,Super Rugby,2013,Result,80,Forsyth Barr,2,Highlanders,Chiefs,302,290,2013-02-22T06:35:00+00:00,27,41,3,4,3,3,2,5,0,0,2,Regular Season,2024-02-15T17:03:44+00:00,127.0,562.0,0.0,15.0,21.0,21.0,169.0,127.0,13.0,24.0,111.0,0.0,10.0,,0.0,0.0,3.0,9.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,80.0,78.0,0.67,0.0,3.0,6.0,1.0,0.89,8.0,0.43,0.67,0.25,,117.0,559.0,0.0,16.0,24.0,19.0,141.0,117.0,16.0,21.0,125.0,0.0,10.0,,0.0,0.0,3.0,15.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,69.0,68.0,1.0,0.0,0.0,5.0,0.0,1.0,5.0,0.57,0.33,0.75,,,
value,4617205,1242,Super Rugby,2013,Result,80,AAMI Park,2,Rebels,Brumbies,53,467,2013-02-22T08:40:00+00:00,13,30,1,4,1,2,2,2,0,0,2,Regular Season,2024-02-15T17:03:49+00:00,92.0,406.0,0.0,5.0,14.0,10.0,92.0,92.0,17.0,26.0,150.0,0.0,11.0,,0.0,1.0,1.0,24.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,6.0,53.0,47.0,0.82,0.0,3.0,14.0,0.0,1.0,4.0,0.2,0.33,0.0,,146.0,537.0,0.0,7.0,28.0,12.0,163.0,146.0,18.0,14.0,71.0,0.0,13.0,,0.0,0.0,2.0,28.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,106.0,102.0,0.91,0.0,1.0,10.0,0.0,1.0,7.0,0.8,0.67,1.0,,,
value,4617214,1242,Super Rugby,2013,Result,80,Loftus Versfeld,2,Bulls,Stormers,308,314,2013-02-22T17:10:00+00:00,25,17,1,2,1,2,6,1,0,0,2,Regular Season,2024-02-15T17:03:54+00:00,75.0,290.0,0.0,0.0,11.0,3.0,103.0,75.0,8.0,18.0,126.0,0.0,10.0,,0.0,0.0,1.0,30.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,2.0,60.0,58.0,0.7,0.0,3.0,7.0,1.0,0.92,11.0,0.33,0.0,0.33,,107.0,418.0,0.0,2.0,18.0,6.0,190.0,107.0,18.0,11.0,87.0,0.0,6.0,,0.0,0.0,2.0,19.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,79.0,77.0,0.57,0.0,6.0,8.0,0.0,1.0,5.0,0.67,0.0,0.67,,,
value,4617223,1242,Super Rugby,2013,Result,80,Westpac Stadium,2,Hurricanes,Blues,299,296,2013-02-23T06:35:00+00:00,20,34,1,4,2,1,2,4,0,0,2,Regular Season,2024-02-15T17:01:34+00:00,93.0,499.0,0.0,3.0,13.0,7.0,172.0,93.0,21.0,26.0,134.0,0.0,9.0,,0.0,0.0,2.0,19.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,5.0,64.0,59.0,1.0,0.0,0.0,16.0,0.0,1.0,6.0,0.33,0.5,0.25,,119.0,653.0,0.0,14.0,26.0,12.0,146.0,119.0,19.0,13.0,107.0,0.0,5.0,,0.0,1.0,1.0,18.0,3.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,3.0,90.0,87.0,1.0,0.0,0.0,10.0,0.0,1.0,9.0,0.67,0.5,0.75,,,
value,4617232,1242,Super Rugby,2013,Result,81,Suncorp Stadium,2,Reds,Waratahs,767,617,2013-02-23T08:40:00+00:00,25,17,3,2,2,2,2,1,0,0,2,Regular Season,2024-02-15T17:01:38+00:00,137.0,640.0,0.0,11.0,31.0,18.0,152.0,137.0,19.0,19.0,128.0,0.0,10.0,,0.0,0.0,2.0,21.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,92.0,91.0,0.79,0.0,3.0,11.0,1.0,0.88,7.0,0.6,1.0,0.33,,133.0,412.0,0.0,8.0,19.0,15.0,195.0,133.0,22.0,31.0,131.0,0.0,7.0,,0.0,0.0,2.0,20.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,92.0,91.0,0.83,0.0,2.0,10.0,0.0,1.0,7.0,0.4,0.0,0.67,,,
value,4617241,1242,Super Rugby,2013,Result,80,Free State Stadium,2,Cheetahs,Sharks,239,311,2013-02-23T15:05:00+00:00,22,29,3,2,2,2,1,5,0,0,2,Regular Season,2024-02-15T17:01:42+00:00,101.0,540.0,0.0,9.0,13.0,15.0,129.0,101.0,18.0,13.0,109.0,0.0,7.0,,0.0,0.0,2.0,24.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,6.0,53.0,47.0,0.64,0.0,5.0,9.0,1.0,0.89,8.0,0.6,0.5,0.67,,114.0,439.0,0.0,8.0,14.0,12.0,112.0,114.0,18.0,13.0,89.0,0.0,7.0,,0.0,0.0,2.0,28.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,62.0,57.0,0.92,0.0,1.0,11.0,0.0,1.0,8.0,0.4,0.5,0.33,,,
value,4617250,1242,Super Rugby,2013,Result,81,Nelson Mandela Bay Stadium,2,Kings,Force,119,236,2013-02-23T17:10:00+00:00,22,10,2,2,0,0,4,0,0,0,2,Regular Season,2024-02-15T17:01:46+00:00,88.0,359.0,0.0,1.0,19.0,9.0,104.0,88.0,17.0,10.0,165.0,0.0,11.0,,0.0,0.0,0.0,25.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,59.0,57.0,0.9,0.0,1.0,9.0,0.0,1.0,10.0,0.5,0.33,1.0,,141.0,527.0,0.0,2.0,10.0,6.0,159.0,141.0,21.0,19.0,83.0,0.0,10.0,,0.0,1.0,0.0,19.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,112.0,107.0,0.59,0.0,7.0,10.0,2.0,0.67,4.0,0.5,0.67,0.0,,,
value,4617286,1242,Super Rugby,2013,Result,81,Eden Park,3,Blues,Crusaders,296,305,2013-03-01T06:30:00+00:00,34,15,5,0,3,0,1,5,0,0,3,Regular Season,2024-02-15T17:00:22+00:00,143.0,548.0,0.0,11.0,17.0,14.0,132.0,143.0,9.0,17.0,144.0,0.0,7.0,,0.0,0.0,3.0,26.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,7.0,95.0,88.0,0.58,0.0,5.0,7.0,1.0,0.89,8.0,1.0,1.0,1.0,,127.0,421.0,0.0,2.0,17.0,7.0,215.0,127.0,15.0,17.0,158.0,0.0,11.0,,0.0,0.0,0.0,18.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,11.0,98.0,87.0,1.0,0.0,0.0,10.0,0.0,1.0,5.0,0.0,0.0,0.0,,,
