,match_id,outcome,home_ability_score,home_attack_score,home_defend_score,home_attacking_rank,home_defending_rank,away_ability_score,away_attack_score,away_defend_score,away_attacking_rank,away_defending_rank
0,4707106,0,129.9,126.5,133.3,10374.0,10714.0,341.8,350.5,333.1,7313.0,7461.0
1,4707115,1,485.55,445.5,525.6,4325.0,3809.0,315.45,319.1,311.8,6448.0,6773.0
2,4707124,1,509.3,519.9,498.7,4184.0,4430.0,317.15,310.8,323.5,6523.0,6449.0
3,4707133,1,487.6,453.5,521.7,4677.0,4660.0,415.85,402.5,429.2,5129.0,5240.0
4,4707142,1,610.2,602.1,618.3,4501.0,4437.0,271.55,255.0,288.1,5731.0,5631.0
5,4707151,1,577.55,559.6,595.5,4180.0,3687.0,275.95,269.7,282.2,6063.0,6253.0
6,4707196,0,278.65,292.0,265.3,7805.0,7946.0,418.1,430.9,405.3,6516.0,6768.0
7,4707205,0,480.15000000000003,460.7,499.6,4832.0,4649.0,614.15,608.4,619.9,4721.0,4625.0
8,4707214,1,558.95,540.9,577.0,4700.0,4149.0,312.65,309.4,315.9,6583.0,6823.0
9,4707223,0,333.65,331.2,336.1,5958.0,5918.0,492.25,456.8,527.7,4496.0,4457.0
10,4707232,0,290.8,275.8,305.8,6347.0,6282.0,255.4,249.70000000000002,261.1,6350.0,6571.0
11,4707241,0,533.3,543.4,523.1999999999999,4886.0,4880.0,375.8,378.59999999999997,373.0,5416.0,5634.0
12,4707286,0,289.95,300.6,279.3,8013.0,8087.0,354.95,307.4,402.5,5418.0,5286.0
13,4707295,1,317.95,320.8,315.1,6623.0,6853.0,233.85,215.9,251.8,6796.0,6640.0
14,4707304,0,253.29999999999998,246.8,259.8,5967.0,6114.0,582.35,563.1,601.6,4874.0,4826.0
15,4707313,1,537.6,550.7,524.5,4272.0,4277.0,537.35,539.9,534.8,3838.0,3904.0
16,4707322,1,475.6,463.5,487.7,4989.0,4986.0,354.5,351.4,357.6,6310.0,6296.0
17,4707331,1,554.15,535.1,573.2,4768.0,4216.0,508.05,466.4,549.7,5074.0,4661.0
18,4707376,1,546.35,568.7,524.0,5877.0,6135.0,291.15,285.2,297.1,6807.0,6879.0
19,4707385,0,291.35,277.4,305.3,6624.0,6620.0,522.25,495.5,549.0,6096.0,5374.0
20,4707394,1,569.3,533.9,604.7,5074.0,4561.0,275.7,270.3,281.1,6003.0,6234.0
21,4707403,1,249.85,274.8,224.9,7439.0,7734.0,225.70000000000002,224.4,227.0,9032.0,9108.0
22,4707412,0,583.05,540.1,626.0,5059.0,4939.0,575.5,570.3,580.7,4475.0,4546.0
23,4707421,1,588.85,570.9,606.8,4727.0,4752.0,327.95,335.1,320.8,6105.0,6360.0
24,4707466,1,306.1,306.1,306.1,6794.0,6859.0,334.6,352.7,316.5,5968.0,6122.0
25,4707475,1,584.7,558.5,610.9,5332.0,4681.0,587.95,562.1,613.8,4968.0,4787.0
26,4707484,0,282.59999999999997,293.7,271.5,6376.0,6648.0,255.15,250.9,259.40000000000003,6038.0,6252.0
27,4707493,0,459.7,449.9,469.5,4373.0,4461.0,585.65,583.7,587.6,4475.0,4444.0
28,4707502,1,489.35,451.5,527.2,4598.0,4264.0,340.05,321.3,358.8,5659.0,5545.0
29,4707511,0,531.4,501.8,561.0,3664.0,3661.0,530.8,542.4,519.1999999999999,4335.0,4402.0
30,4707556,1,274.7,289.1,260.3,8333.0,8599.0,426.75,437.8,415.7,5675.0,5906.0
31,4707565,1,310.9,296.9,324.9,6185.0,5982.0,337.84999999999997,345.9,329.8,5836.0,6041.0
32,4707574,0,285.55,279.5,291.6,7490.0,7445.0,531.35,536.3,526.4,4466.0,4451.0
33,4707583,0,526.4,518.6,534.2,3519.0,3489.0,538.6,512.7,564.5,4212.0,4246.0
34,4707592,1,632.95,623.4,642.5,4416.0,4273.0,445.3,395.40000000000003,495.2,5445.0,5012.0
35,4707601,0,263.6,260.0,267.2,6334.0,6550.0,482.05,458.59999999999997,505.5,5415.0,4812.0
36,4707646,1,546.25,516.1,576.4,3715.0,3730.0,344.45,339.0,349.9,7092.0,7073.0
37,4707655,0,288.5,291.1,285.9,6488.0,6686.0,455.95000000000005,411.5,500.4,5315.0,4836.0
38,4707664,1,416.65,411.6,421.7,5771.0,5644.0,271.55,278.8,264.3,8257.0,8490.0
39,4707673,1,606.75,582.9,630.6,5133.0,4943.0,539.25,512.4,566.1,5537.0,4898.0
40,4707736,0,458.05,460.9,455.2,6469.0,6659.0,554.7,522.4,587.0,3809.0,3787.0
41,4707745,0,244.85,241.70000000000002,248.0,6594.0,6788.0,338.1,318.7,357.5,5769.0,5493.0
42,4707754,0,616.5,609.9,623.1,4011.0,4173.0,522.25,530.4,514.1,5027.0,5071.0
43,4707763,0,291.1,293.6,288.6,8635.5,9044.0,517.5,492.4,542.6,5667.0,4885.0
44,4707826,1,555.55,551.3,559.8,3615.0,3618.0,206.9,224.6,189.2,8638.0,8949.0
45,4707835,0,316.3,298.2,334.4,6095.0,5827.0,587.55,577.1,598.0,4614.0,4527.0
46,4707844,0,385.85,370.2,401.5,6352.0,6212.0,422.6,434.3,410.9,4553.0,4763.0
47,4707853,0,200.75,188.70000000000002,212.8,7192.0,7334.0,489.40000000000003,459.7,519.1,4899.0,4537.0
48,4707916,1,581.65,546.1,617.2,4574.0,4491.0,506.6,479.3,533.9,4815.0,4431.0
49,4707925,0,226.1,239.3,212.9,9311.0,9579.0,215.05,198.3,231.8,6634.0,6710.0
50,4707934,1,395.0,390.2,399.8,5778.0,5806.0,229.85,237.9,221.8,8229.0,8619.0
51,4707943,1,397.7,385.8,409.6,5939.0,5866.0,592.4,586.3,598.5,4801.0,4600.0
52,4707952,0,337.65,315.2,360.1,6325.0,6046.0,561.45,536.0,586.9,4967.0,4177.0
53,4707961,1,408.25,409.5,407.0,4299.0,4277.0,311.85,293.7,330.0,6156.0,5886.0
54,4708006,0,622.15,610.9,633.4,4788.0,4556.0,547.85,524.0,571.7,4436.0,4420.0
55,4708015,0,277.6,270.6,284.6,5468.0,5605.0,480.8,484.8,476.8,5435.0,5604.0
56,4708024,0,370.4,371.3,369.5,6494.0,6803.0,398.7,389.9,407.5,5796.0,5862.0
57,4708033,1,499.40000000000003,484.6,514.2,3898.0,3646.0,433.1,399.7,466.5,4873.0,4816.0
58,4708042,1,301.0,291.6,310.40000000000003,6004.0,5980.0,279.75,287.0,272.5,7961.0,8145.0
59,4708051,1,587.7,563.0,612.4,4276.0,3570.0,427.25,424.5,430.0,6111.0,6026.0
60,4708096,1,538.75,549.9,527.6,4329.0,4270.0,290.45,279.3,301.59999999999997,6441.0,6467.0
61,4708105,0,623.5,616.4,630.6,4784.0,4566.0,381.6,367.9,395.3,5797.0,5719.0
62,4708114,0,329.4,352.2,306.6,8771.0,9077.0,504.6,494.2,515.0,4750.0,4508.0
63,4708123,0,593.45,573.3,613.6,3850.0,3946.0,621.4,588.7,654.1,3994.0,3207.0
64,4708132,0,275.7,267.8,283.6,6073.0,6256.0,479.0,456.0,502.0,5963.0,5996.0
65,4708141,1,396.9,393.4,400.40000000000003,5599.0,5701.0,272.4,261.5,283.3,8009.5,8016.0
